Date,Confirmed,Active,Deaths,Recovered
2020-02-26,2,2,0,0
2020-02-27,2,2,0,0
2020-02-28,4,4,0,0
2020-02-29,4,4,0,0
2020-03-01,4,4,0,0
2020-03-02,4,4,0,0
2020-03-03,5,5,0,0
2020-03-04,6,6,0,0
2020-03-05,6,6,0,0
2020-03-06,6,6,0,0
2020-03-07,6,6,0,0
2020-03-08,7,7,0,0
2020-03-09,16,16,0,0
2020-03-10,19,18,0,1
2020-03-11,20,18,0,2
2020-03-12,21,19,0,2
2020-03-13,28,25,0,3
2020-03-14,31,28,0,3
2020-03-15,53,50,0,3
2020-03-16,187,183,0,4
2020-03-17,238,234,0,4
2020-03-18,302,295,2,5
2020-03-19,457,450,2,5
2020-03-20,534,526,3,5
2020-03-21,646,638,3,5
2020-03-22,803,791,6,6
2020-03-23,892,880,6,6
2020-03-24,1000,974,7,19
2020-03-25,1022,993,8,21
2020-03-26,1235,1203,9,23
